seed,protocol,fold_or_condition,threshold_source_partition,k,low_group_definition,gangue_group_definition,train_low_mean,train_low_var,train_gangue_mean,train_gangue_var,tau_low,tau_gangue,collapse_flag
44,heldout_overlay,hydraulic_support_0dB,train,0.5000000000,coal+empty,gangue,0.3174072619,0.0019694160,0.8132786317,0.0013095535,0.3395963133,0.7951847550,0
44,heldout_overlay,hydraulic_support_-3dB,train,0.5000000000,coal+empty,gangue,0.3015857924,0.0016965318,0.7929700059,0.0014833441,0.3221802807,0.7737129027,0
44,heldout_overlay,hydraulic_support_-6dB,train,0.5000000000,coal+empty,gangue,0.2986934867,0.0035906167,0.8008048716,0.0012692055,0.3286543641,0.7829919163,0
44,heldout_overlay,mixed_equipment_0dB,train,0.5000000000,coal+empty,gangue,0.3091694790,0.0023195293,0.7821980804,0.0013265383,0.3332502249,0.7639872437,0
44,heldout_overlay,mixed_equipment_-3dB,train,0.5000000000,coal+empty,gangue,0.3023011792,0.0021135095,0.8056753474,0.0011437389,0.3252876399,0.7887657429,0
44,heldout_overlay,mixed_equipment_-6dB,train,0.5000000000,coal+empty,gangue,0.3083882697,0.0028245287,0.7790559304,0.0012990804,0.3349614173,0.7610345514,0
45,event_disjoint,S0,train,0.5000000000,coal+empty,gangue,0.2976355463,0.0024945330,0.7866956660,0.0014511077,0.3226081963,0.7676489622,0
45,event_disjoint,S1,train,0.5000000000,coal+empty,gangue,0.3169033359,0.0022192090,0.7765479344,0.0016679625,0.3404575765,0.7561275861,0
45,event_disjoint,S2,train,0.5000000000,coal+empty,gangue,0.3026442015,0.0023301518,0.7806865189,0.0013192950,0.3267800245,0.7625254685,0
45,event_disjoint,S3,train,0.5000000000,coal+empty,gangue,0.3198178808,0.0025088092,0.7831757317,0.0018883322,0.3448618881,0.7614482595,0
45,event_disjoint,S4,train,0.5000000000,coal+empty,gangue,0.3097544933,0.0025117572,0.8029081579,0.0013294028,0.3348132103,0.7846776697,0
45,event_disjoint,S5,train,0.5000000000,coal+empty,gangue,0.3053503804,0.0020327665,0.7983818217,0.0018298197,0.3278934863,0.7769936258,0
45,event_disjoint,S6,train,0.5000000000,coal+empty,gangue,0.2913829912,0.0015648797,0.7688589486,0.0016114060,0.3111622714,0.7487877877,0
45,group_lonso,S0,train,0.5000000000,coal+empty,gangue,0.3105252793,0.0016528881,0.7766189688,0.0023051578,0.3308531426,0.7526129393,0
45,group_lonso,S1,train,0.5000000000,coal+empty,gangue,0.2943081760,0.0023218488,0.8125746499,0.0015012993,0.3184009592,0.7932013480,0
45,group_lonso,S2,train,0.5000000000,coal+empty,gangue,0.3011788841,0.0024324449,0.7865573777,0.0015553916,0.3258387954,0.7668381510,0
45,group_lonso,S3,train,0.5000000000,coal+empty,gangue,0.3036305778,0.0020903304,0.7861890427,0.0018904956,0.3264906434,0.7644491278,0
45,group_lonso,S4,train,0.5000000000,coal+empty,gangue,0.2866464375,0.0028464094,0.7971865151,0.0010347456,0.3133223133,0.7811027842,0
45,group_lonso,S5,train,0.5000000000,coal+empty,gangue,0.3033318814,0.0014352339,0.7783955822,0.0011445341,0.3222741219,0.7614801004,0
45,group_lonso,S6,train,0.5000000000,coal+empty,gangue,0.3085329013,0.0019680907,0.8057966557,0.0017143442,0.3307144854,0.7850943358,0
45,heldout_overlay,hydraulic_support_0dB,train,0.5000000000,coal+empty,gangue,0.3076712678,0.0018170693,0.7947293092,0.0016944995,0.3289848157,0.7741471598,0
45,heldout_overlay,hydraulic_support_-3dB,train,0.5000000000,coal+empty,gangue,0.2978901128,0.0019049671,0.7869278660,0.0016166323,0.3197130772,0.7668241829,0
45,heldout_overlay,hydraulic_support_-6dB,train,0.5000000000,coal+empty,gangue,0.3010083578,0.0023094880,0.7983464863,0.0010699473,0.3250369241,0.7819914618,0
45,heldout_overlay,mixed_equipment_0dB,train,0.5000000000,coal+empty,gangue,0.3098329080,0.0016972751,0.8009898761,0.0014505056,0.3304319074,0.7819471242,0
45,heldout_overlay,mixed_equipment_-3dB,train,0.5000000000,coal+empty,gangue,0.3001479760,0.0014128960,0.7840804647,0.0008490232,0.3189422304,0.7695114634,0
45,heldout_overlay,mixed_equipment_-6dB,train,0.5000000000,coal+empty,gangue,0.2955458745,0.0027584360,0.7949538638,0.0012815386,0.3218062820,0.7770545719,0
46,event_disjoint,S0,train,0.5000000000,coal+empty,gangue,0.3010488187,0.0024630524,0.7838361890,0.0012904471,0.3258633930,0.7658747922,0
46,event_disjoint,S1,train,0.5000000000,coal+empty,gangue,0.3262725317,0.0027821725,0.7901566543,0.0015454381,0.3526456833,0.7705006241,0
46,event_disjoint,S2,train,0.5000000000,coal+empty,gangue,0.3087998797,0.0029444918,0.7849773375,0.0012996670,0.3359314655,0.7669518902,0
46,event_disjoint,S3,train,0.5000000000,coal+empty,gangue,0.3218824073,0.0016122647,0.7959134697,0.0018261028,0.3419589153,0.7745470077,0
46,event_disjoint,S4,train,0.5000000000,coal+empty,gangue,0.3125499150,0.0026539231,0.7785798494,0.0014508882,0.3383080356,0.7595345862,0
46,event_disjoint,S5,train,0.5000000000,coal+empty,gangue,0.3002011917,0.0021989532,0.7944265031,0.0022445745,0.3236476904,0.7707380328,0
46,event_disjoint,S6,train,0.5000000000,coal+empty,gangue,0.3013304503,0.0022724432,0.7799713239,0.0014455561,0.3251655253,0.7609610892,0
46,group_lonso,S0,train,0.5000000000,coal+empty,gangue,0.3075334598,0.0024485304,0.7909876888,0.0021848901,0.3322747734,0.7676162848,0
46,group_lonso,S1,train,0.5000000000,coal+empty,gangue,0.3038131145,0.0015820472,0.8028736788,0.0010853070,0.3237005930,0.7864016798,0
46,group_lonso,S2,train,0.5000000000,coal+empty,gangue,0.2920864178,0.0029975845,0.7948787963,0.0015749833,0.3194615183,0.7750357667,0
46,group_lonso,S3,train,0.5000000000,coal+empty,gangue,0.3148302323,0.0018252373,0.7890594444,0.0017933051,0.3361916303,0.7678857278,0
46,group_lonso,S4,train,0.5000000000,coal+empty,gangue,0.2898192444,0.0026895481,0.7826336592,0.0011976617,0.3157496710,0.7653300346,0
46,group_lonso,S5,train,0.5000000000,coal+empty,gangue,0.3034040897,0.0017949108,0.7725526029,0.0012767969,0.3245872835,0.7546864554,0
46,group_lonso,S6,train,0.5000000000,coal+empty,gangue,0.3122772975,0.0021788149,0.8008267769,0.0013959428,0.3356161862,0.7821456179,0
46,heldout_overlay,hydraulic_support_0dB,train,0.5000000000,coal+empty,gangue,0.2984883084,0.0021080572,0.8018142894,0.0014675632,0.3214451004,0.7826598956,0
46,heldout_overlay,hydraulic_support_-3dB,train,0.5000000000,coal+empty,gangue,0.3110571210,0.0015828672,0.7856716937,0.0020899985,0.3309497528,0.7628134430,0
46,heldout_overlay,hydraulic_support_-6dB,train,0.5000000000,coal+empty,gangue,0.3017355913,0.0024920238,0.7865996429,0.0013998451,0.3266956784,0.7678923910,0
46,heldout_overlay,mixed_equipment_0dB,train,0.5000000000,coal+empty,gangue,0.3027691239,0.0028407493,0.7884790730,0.0012056164,0.3294184639,0.7711180794,0
46,heldout_overlay,mixed_equipment_-3dB,train,0.5000000000,coal+empty,gangue,0.3016121924,0.0016098571,0.7958152124,0.0012047288,0.3216737047,0.7784606107,0
46,heldout_overlay,mixed_equipment_-6dB,train,0.5000000000,coal+empty,gangue,0.3101782398,0.0022780884,0.7990933501,0.0012747077,0.3340429020,0.7812418257,0
