seed,protocol,fold_or_condition,partition,class,n,raw_mean,raw_sd,raw_q25,raw_median,raw_q75,latent_mean,latent_sd,latent_q25,latent_median,latent_q75
43,heldout_overlay,hydraulic_support_0dB,train,coal,34,0.3006861296,0.0383307977,0.2747742207,0.3032692661,0.3308296723,0.2701047885,0.0250535211,0.2596009409,0.2742607308,0.2900112454
43,heldout_overlay,hydraulic_support_0dB,train,empty,29,0.3483906100,0.0446545369,0.3162689994,0.3505477494,0.3811067435,0.3312980578,0.0416747053,0.3029493912,0.3273632161,0.3696438154
43,heldout_overlay,hydraulic_support_0dB,train,gangue,40,0.7274830152,0.0471034988,0.6944557119,0.7268349667,0.7625149096,0.8096093406,0.0332469525,0.7886063171,0.8133637248,0.8300549730
43,heldout_overlay,mixed_equipment_-3dB,test,coal,10,0.3736726372,0.0202421496,0.3608620093,0.3737351935,0.3764372811,0.2958202926,0.0341789491,0.2714786703,0.2901544150,0.3131412491
43,heldout_overlay,mixed_equipment_-3dB,test,empty,9,0.2952363624,0.0568246357,0.2475201050,0.3080492418,0.3334208073,0.3021724844,0.0426790638,0.2826269688,0.2897617583,0.3152789311
43,heldout_overlay,mixed_equipment_-3dB,test,gangue,11,0.6444260751,0.0600392106,0.6047419847,0.6402960375,0.6809712577,0.7111102301,0.0375397879,0.6779698633,0.7045127889,0.7486199904
43,heldout_overlay,mixed_equipment_-3dB,train,coal,34,0.3184379623,0.0355506188,0.2920920595,0.3142760671,0.3467048616,0.2837255231,0.0309956077,0.2621361031,0.2868389742,0.2998669945
43,heldout_overlay,mixed_equipment_-3dB,train,empty,29,0.3511670399,0.0356740309,0.3360128727,0.3457069061,0.3732507124,0.3179012006,0.0392354512,0.2971383593,0.3156256311,0.3503438978
43,heldout_overlay,mixed_equipment_-3dB,train,gangue,40,0.7375534815,0.0496542961,0.7028820678,0.7339143320,0.7633368016,0.7929472098,0.0350755159,0.7723837058,0.7875452066,0.8137493926
43,heldout_overlay,mixed_equipment_-6dB,test,coal,10,0.3551860559,0.0554854221,0.3346768796,0.3643304248,0.3924134612,0.2824068687,0.0528526010,0.2634589876,0.2699586872,0.2917979116
43,heldout_overlay,mixed_equipment_-6dB,test,empty,9,0.3654348191,0.0539060746,0.3465337925,0.3849854809,0.4063785584,0.4082248607,0.0163527432,0.4001356564,0.4032529401,0.4108364181
43,heldout_overlay,mixed_equipment_-6dB,test,gangue,11,0.7671526169,0.0484997571,0.7365898298,0.7552608572,0.8086536796,0.8126629345,0.0370833013,0.7841659292,0.8152378583,0.8367121267
